Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Sale Amount Outlier
200594,2020,02/16/2021,Danbury,8 HICKORY ST,121600.0,146216.0,0.831646331,Residential,Single Family,25 - Other,I11192,HOUSE HAS SETTLED PER MLS,POINT (-73.44696 41.41179),False
200562,2020,02/03/2021,Danbury,19  MILL RD,263600.0,415000.0,0.635180723,Residential,Single Family,25 - Other,AFFORDABLE HOUSING / B15001-20-19,INCORRECT DATA PER TOWN RECORDS,POINT (-73.53692 41.38822),False
200260,2020,11/23/2020,Danbury,32 COALPIT HILL RD #4,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-4,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200148,2020,01/05/2021,Avon,23 CHEPACHET ROAD,165260.0,430000.0,0.384325581,Residential,Condo,07 - Change in Property,Includes 120&124 Pequot Road,TOTAL RENOVATION PER MLS,POINT (-72.91856 41.77954),False
200000411,2020,09/10/2021,Brookfield,11 BRISTOL PATH,3770.0,180000.0,0.020944444,Residential,Condo,25 - Other,GARAGE SOLD W/ CONDO,ALSO SEE #200000410,POINT (-73.39124 41.46698),False
200209,2020,05/03/2021,Colchester,28 PHOENIX RD,19300.0,10000.0,1.93,Residential,Single Family,25 - Other,MOBILE HOME,RATIO - NO MLS,POINT (-72.40695 41.57147),False
200262,2020,11/23/2020,Danbury,32 COALPIT HILL RD #6,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-6,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200000410,2020,09/10/2021,Brookfield,11 BRISTOL PATH,132150.0,180000.0,0.734166667,Residential,Condo,25 - Other,SOLD W/ GARAGE,ALSO SEE #200000411,POINT (-73.39124 41.46698),False
200359,2020,12/14/2020,Danbury,1 E HAYESTOWN RD #155,167700.0,190000.0,0.882631579,Residential,Condo,25 - Other,I10051-155,PER MLS CASH SALE ONLY - BUYER WILL INHERIT NON PAYING OCCUPANT IN UNIT,POINT (-73.44901 41.4171),False
200403,2020,07/02/2021,East Lyme,249 OLD BLACK PT RD,2083410.0,6568750.0,0.317169933,Residential,Single Family,07 - Change in Property,WATERFRONT,"PER MLS HOUSE COMPLETED JAN. 2020 - ASSESSMENT ON TOWN CARD = $2,099,720",POINT (-72.21122 41.28831),False
200950,2020,05/18/2021,Danbury,49 BRENTWOOD CI,18200.0,541361.0,0.033618971,Residential,Condo,07 - Change in Property,B16001-72,NEW CONSTRUCTION,POINT (-72.9039 41.71702),False
200263,2020,11/23/2020,Danbury,32 COALPIT HILL RD #8,82800.0,181778.0,0.455500666,Residential,Condo,25 - Other,J16087-8,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200267,2020,11/23/2020,Danbury,32 COALPIT HILL RD #12,83400.0,181778.0,0.458801395,Residential,Condo,25 - Other,J16087-12,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200525,2020,01/25/2021,Danbury,19 RIDGECREST RD,326400.0,173000.0,1.886705202,Residential,Single Family,25 - Other,F08026,SEE #200526 FOR CORRECT SALE DATA,POINT (-73.48545 41.42587),False
200776,2020,04/05/2021,Danbury,6 PLEASANT DR,146700.0,360000.0,0.4075,Residential,Single Family,07 - Change in Property,I07205,PER MLS UPDATES INCLUDE FINISHED BASEMENT WITH HALF BATH,POINT (-73.44826 41.4307),False
20079,2020,07/19/2021,Barkhamsted,82 TAYLOR RD,205870.0,415000.0,0.496072289,Residential,Single Family,28 - Use Assessment,"1977 Colonial, 1104 SFLA, + Stable, 6.28 AC, 3.1 AC Pasture",On 10/1/2020 there were still 3.1 Acres in PA490 - pasture,POINT (-73.03127 41.96241),False
20098,2020,09/17/2021,Ashford,5 MAPLE DR,100800.0,245000.0,0.411428571,Residential,Single Family,22 - Money and Personal Property,"Waterfront Lake Chaffee, 1 BR cottage blt 1959",SOLD FULLY FURNISHED PER MLS,POINT (-72.19347 41.94076),False
20049,2020,04/19/2021,Barkhamsted,72 WARNER RD,156450.0,350000.0,0.447,Residential,Single Family,07 - Change in Property,"1979 Ranch - Log Home, 1296 SFLA, 4.09 AC",MLS INFO: Part Fin Bsmnt and additional 1/2 bath PER ASSESSOR,POINT (-72.9419 41.89826),False
200120,2020,12/11/2020,East Lyme,42  S LEE RD,187460.0,585000.0,0.320444444,Residential,Single Family,07 - Change in Property,"2 PARCELS 04.7/1=10,430  4.111/16=177030 TOTAL $187460",UPDATED KITCHEN AND BATHS PER MLS - LARGE ASSESSMENT INCREASE,POINT (-72.2287 41.30147),False
201572,2020,09/23/2021,Danbury,26 CROSS ST,127700.0,370000.0,0.345135135,Residential,Single Family,25 - Other,RATIO TOO LOW / K13085,ALSO SEE PREVIOUS SALE #200652. NO MLS.,POINT (-73.43016 41.39717),False
201082,2020,06/16/2021,Danbury,59 BRENTWOOD CI,18200.0,550603.0,0.033054669,Residential,Condo,07 - Change in Property,B16001-67,NEW CONSTRUCTION,POINT (-72.47382 41.7045),False
200987,2020,05/25/2021,Danbury,8 HICKORY ST,121600.0,145000.0,0.83862069,Residential,Single Family,25 - Other,I11192,HOUSE HAS SETTLED PER MLS,POINT (-73.44696 41.41179),False
201470,2020,09/02/2021,Danbury,5 CATHERINE ST,148300.0,425000.0,0.348941176,Residential,Single Family,07 - Change in Property,H11029,NO MLS. RAISED RANCH WITH NO FINISHED BASEMENT AREA ON FIELD CARD.,POINT (-73.46626 41.41119),False
200161,2020,11/02/2020,Danbury,81-95 PARK AV 905,105400.0,255000.0,0.413333333,Residential,Condo,07 - Change in Property,H15124-49,COMPLETELY UPDATED UNIT PER MLS,POINT (-73.46318 41.38556),False
200258,2020,11/23/2020,Danbury,32 COALPIT HILL RD #2,84200.0,181778.0,0.463202368,Residential,Condo,25 - Other,J16087-2,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200901,2020,05/04/2021,Danbury,50 BOULEVARD DR,131100.0,78000.0,1.680769231,Residential,Single Family,25 - Other,RATIO TOO HIGH / D16053,NO MLS,POINT (-73.50591 41.38325),False
200257,2020,11/23/2020,Danbury,32 COALPIT HILL RD #1,82400.0,181778.0,0.453300179,Residential,Condo,25 - Other,J16087-1,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200059,2020,10/13/2020,Danbury,147 BRENTWOOD CI,18200.0,544387.0,0.033432099,Residential,Condo,07 - Change in Property,B16001-23,NEW CONSTRUCTION,POINT (-72.84938 41.44213),False
201069,2020,06/15/2021,Danbury,16 E HAYESTOWN RD,137900.0,352500.0,0.391205674,Residential,Single Family,07 - Change in Property,I09120,UPDATED KITCHEN PER MLS,POINT (-73.45111 41.41873),False
200185,2020,11/09/2020,Danbury,2 VENTURA AV,168000.0,380000.0,0.442105263,Residential,Single Family,07 - Change in Property,H11066,TOTAL RENOVATION PER MLS,POINT (-73.46636 41.40823),False
200926,2020,05/11/2021,Danbury,44 JEANETTE RD,144300.0,339500.0,0.425036819,Residential,Single Family,07 - Change in Property,H08043,PER MLS HAS UPDATED KITCHEDN AND ENLARGED FINISHED BASEMENT.,POINT (-73.46561 41.42574),False
200264,2020,11/23/2020,Danbury,32 COALPIT HILL RD #9,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-9,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200112,2020,12/10/2020,East Lyme,64 S WASHINGTON AVE,419720.0,1150000.0,0.364973913,Residential,Single Family,07 - Change in Property,WATERFRONT,ASSESSMENT CHANGE - HAS 3 FULL BATHS PER MLS,POINT (-72.20417 41.31308),False
200199,2020,11/10/2020,Danbury,14 WEST CROSS TR,26000.0,465408.0,0.055864961,Residential,Condo,07 - Change in Property,B16001-127,NEW CONSTRUCTION,POINT (-73.45258 41.39306),False
200317,2020,08/20/2021,Coventry,110 WANGUMBAUG DR,101900.0,325000.0,0.313538462,Residential,Single Family,07 - Change in Property,AND R/B/13,"PER MLS 2 FULL BATHS, WOOD DECK CONVERTED TO 3 SEASON ROOM, ATTACHED GARAGE CONVERTED TO LIVING SPACE",POINT (-72.33549 41.77021),False
20524,2020,05/07/2021,East Hartford,57 SHAWNEE RD,16290.0,10000.0,1.629,Residential,Condo,25 - Other,MOBILE HOME,"PREVIOUS SALE 6/19/2019 FOR $20,000",POINT (-72.63553 41.7366),False
200033,2020,10/06/2020,Danbury,6 QUIEN ST,149800.0,396000.0,0.378282828,Residential,Two Family,07 - Change in Property,H15106,PER MLS THERE IS A 3RD UNIT IN BASEMENT - NO PERMITS,POINT (-73.46194 41.3905),False
201458,2020,09/02/2021,Danbury,43 KOHANZA ST #43,50000.0,155000.0,0.322580645,Residential,Condo,07 - Change in Property,H12033-11,UPDATED KITCHEN AND BATH PER MLS,POINT (-73.46717 41.40227),False
200127,2020,09/07/2021,East Granby,167 SOUTH MAIN STREET,145800.0,172000.0,0.847674419,Residential,Single Family,25 - Other,"PP TOO LOW, RATIO TOO HIGH",SHORT SALE PER MLS,POINT (-72.73562 41.92427),False
200685,2020,04/14/2021,Bristol,325 PECK LN,87430.0,275000.0,0.317927273,Residential,Single Family,25 - Other,MOTIVATED SELLER,UPDATED PER MLS WITH 2 FULL RENOVATED BATHS AND RENOVATED KITCHEN,POINT (-72.96345 41.66194),False
201236,2020,06/18/2021,Griswold,36-38 HILL ST,93660.0,270000.0,0.346888889,Residential,Two Family,07 - Change in Property,DUPLEX,PER MLS HOUSE HAS 3.5 BATHS,POINT (-73.06939 41.34105),False
200259,2020,11/23/2020,Danbury,32 COALPIT HILL RD #3,87000.0,194000.0,0.448453608,Residential,Condo,25 - Other,J16087-3,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
201067,2020,06/15/2021,Danbury,29 TOPSTONE DR,141600.0,335000.0,0.422686567,Residential,Single Family,07 - Change in Property,K14211,TOTAL RENOVATION PER MLS,POINT (-73.42528 41.39661),False
200000374,2020,08/17/2021,Brookfield,9A NEW BRIDGE RD,303090.0,650000.0,0.466292308,Residential,Single Family,25 - Other,SOLD W/ 9 NEW BRIDGE RD,ALSO SEE #200000375,POINT (-73.39512 41.51199),False
201013,2020,10/20/2020,Griswold,829-831 VOLUNTOWN RD,112210.0,145000.0,0.773862069,Residential,Two Family,25 - Other,RATIO,"PER MLS CLOSING PRICE = $150,000",POINT (-71.94 41.58468),False
200057,2020,10/08/2020,Danbury,14 SOUTH ST #6,152600.0,265000.0,0.575849057,Residential,Condo,25 - Other,K16126-6,DUPLICATE ENTRY - ALSO SEE #200056,POINT (-73.42544 41.3836),False
200301,2020,11/30/2020,Danbury,2 COLBY LA,129600.0,305000.0,0.424918033,Residential,Single Family,07 - Change in Property,J15289,PER MLS COMPLETELY UPDATED INCLUDING FINISHED BASEMENT,POINT (-73.43566 41.38807),False
20039,2020,10/20/2020,Farmington,42 YORKSHIRE COURT,296090.0,559187.0,0.529500865,Residential,Condo,07 - Change in Property,new construction,"NEW ASSESSMENT = $301,350",POINT (-72.78259 41.74512),False
200261,2020,11/23/2020,Danbury,32 COALPIT HILL RD #5,87000.0,193000.0,0.450777202,Residential,Condo,25 - Other,J16087-5,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200265,2020,11/23/2020,Danbury,32 COAPIT HILL RD #10,83400.0,188700.0,0.441971383,Residential,Condo,25 - Other,J16087-10,MULTIPLE UNIT SALE,POINT (-73.43924 41.38732),False
200912,2020,05/10/2021,Danbury,1 FARVIEW AV A-19,102800.0,256200.0,0.401249024,Residential,Condo,07 - Change in Property,H13018-19,PER MLS HAS FINISHED BASEMENT,POINT (-73.46178 41.40092),False
200193,2020,11/09/2020,Danbury,14 PRESIDENT ST,110900.0,260000.0,0.426538462,Residential,Single Family,07 - Change in Property,K16074,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #190170,POINT (-73.4344 41.38474),False
201268,2020,07/27/2021,Danbury,98 FRANKLIN ST,130700.0,327000.0,0.39969419,Residential,Single Family,25 - Other,G13201,"ESTATE SALE PER MLS, HAS HALF BATH NOT ON FIELD CARD",POINT (-73.46753 41.40078),False
200483,2020,01/13/2021,Danbury,12 GREENLAWN DR,98000.0,150995.0,0.649028114,Residential,Single Family,07 - Change in Property,MOBILE HOME / D15017-177,ALSO SEE #200130,POINT (-73.50683 41.38895),False
200920,2020,05/10/2021,Danbury,42 BRENTWOOD CI,278800.0,530000.0,0.526037736,Residential,Condo,25 - Other,B16001-170,INCORRECT ADDRESS? - ALSO SEE #200710,POINT (-72.85037 41.44558),False
200318,2020,08/18/2021,Colchester,71 SHAILOR HILL RD,145100.0,160000.0,0.906875,Residential,Single Family,25 - Other,NOT ON MARKET,ESTATE SALE PER MLS EXPIRED LISTING,POINT (-72.40693 41.57329),False
200395,2020,12/22/2020,Danbury,30 DAVIS ST,160000.0,380000.0,0.421052632,Residential,Single Family,07 - Change in Property,G13155,TOTAL RENOVATION PER MLS,POINT (-73.46863 41.39845),False
200266,2020,11/23/2020,Danbury,32 COALPIT HILL RD #11,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-11,MULTIPLE UNIT SALE,POINT (-73.43961 41.38722),False
201009,2020,06/01/2021,Danbury,22 JEFFERSON AV,133800.0,340000.0,0.393529412,Residential,Single Family,07 - Change in Property,H16147,TOTAL RENOVATION PER MLS,POINT (-73.4571 41.38103),False
200698,2020,03/10/2021,Danbury,7 PADANARAM RD 60,80200.0,139900.0,0.573266619,Residential,Condo,25 - Other,H10157-60,DUPLICATE ENTRY - ALSO SEE #200697,POINT (-73.46769 41.42001),False
200659,2020,03/08/2021,Danbury,90 SO KING ST,182100.0,225000.0,0.809333333,Residential,Single Family,25 - Other,E09071,PER MLS NEEDS NEW ENGINEERED SEPTIC AND ROOF. PRICE REFLECTS WORK NEEDED.,POINT (-73.52067 41.43596),False
201341,2020,08/09/2021,Danbury,10 BEECH ST,136600.0,315000.0,0.433650794,Residential,Single Family,07 - Change in Property,I11209,ESTATE SALE. HAS 2 FULL BATHS PER MLS.,POINT (-73.44659 41.411),False
200795,2020,01/25/2021,Norwalk,15 CHESTNUT ST,264130.0,885000.0,0.298451977,Residential,Two Family,03 - Inter Corporation,2-55-6-0,GRANTOR LLC AND GRANTEE LLC WITH SAME PRINCIPAL MEMBER,POINT (-73.42033 41.0953),False
200657,2020,08/30/2021,South Windsor,234 ABBE RD,175300.0,390000.0,0.449487179,Residential,Single Family,07 - Change in Property,W/IN-LAW APT,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200306,POINT (-72.54096 41.86005),False
202968,2020,09/03/2021,Norwalk,5 LACEY LN,335620.0,619000.0,0.542197092,Residential,Single Family,25 - Other,5-58-471-0,2ND SALE ON SAME DAY FOR SAME PRICE - ALSO SEE #202967,POINT (-73.43762 41.11254),False
202583,2020,07/01/2021,Norwalk,54 WINDING LN,356590.0,680000.0,0.524397059,Residential,Single Family,07 - Change in Property,5-23-202-0,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200294,POINT (-73.41381 41.14574),False
200103,2020,03/17/2021,Portland,47 ROSE HILL RD,234290.0,400000.0,0.585725,Residential,Single Family,25 - Other,059-0056 2 SALES IN ONE YEAR,RELOCATION - SEE #200102,POINT (-72.59479 41.59285),False
20146,2020,01/22/2021,Montville,20 FLORIDA DR,102990.0,108000.0,0.953611111,Residential,Single Family,25 - Other,SALES RATIO,NO MLS,POINT (-72.2017 41.47003),False
20435,2020,05/19/2021,Southbury,700 BUCKS HILL RD,262270.0,337500.0,0.777096296,Residential,Two Family,14 - Foreclosure,HOUSE WITH ACCESS APT,PURCHASE OF A FORECLOSED PROPERTY,POINT (-73.19053 41.49528),False
200150,2020,10/26/2020,Norwalk,3 BRANFORD ST,248050.0,690000.0,0.359492754,Residential,Single Family,07 - Change in Property,3-45-5-0,TOTAL RENOVATION PER MLS,POINT (-73.4019 41.10046),False
202501,2020,06/17/2021,Norwalk,4 LORENA ST,347790.0,1080000.0,0.322027778,Residential,Three Family,07 - Change in Property,3-46-11-0,TOTAL RENOVATION PER MLS,POINT (-73.40208 41.09955),False
202216,2020,04/30/2021,Norwalk,6 TRACEY ST,223480.0,562000.0,0.397651246,Residential,Single Family,07 - Change in Property,5-56-502-0,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200805,POINT (-73.43084 41.12084),False
200789,2020,01/22/2021,Norwalk,35 MEEKER CT,292110.0,1300000.0,0.2247,Residential,Single Family,07 - Change in Property,6-28C-40-0 - RES VACANT LAND,NEW CONSTRUCTION - CO 1/15/2021,POINT (-73.44244 41.08043),False
200204,2020,11/25/2020,New Haven,187 ENGLISH ST,88690.0,173000.0,0.51265896,Residential,Two Family,25 - Other,BELOW MARKET,SHORT SALE PER MLS,POINT (-72.89526 41.3168),False
20375,2020,07/19/2021,Montville,227 ROUTE 163,90840.0,233000.0,0.389871245,Residential,Single Family,07 - Change in Property,SALES RATIO,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #20089,POINT (-72.12453 41.44677),False
20293,2020,06/03/2021,Montville,154 NOBLE HILL RD,300910.0,415000.0,0.725084337,Residential,Single Family,07 - Change in Property,SALES RATIO,NEWLY RENOVATED PER MLS,POINT (-72.14685 41.50039),False
202473,2020,06/15/2021,Norwalk,75 HIGHLAND AVE,556980.0,1480000.0,0.376337838,Residential,Two Family,07 - Change in Property,6-20A-3-0,RENOVATIONS - ASSESSMENT INCREASE - SEE PREVIOUS SALE #200196,POINT (-73.43551 41.06878),False
200812,2020,07/02/2021,Middletown,16 BEVERLY HGTS,117450.0,135000.0,0.87,Residential,Two Family,25 - Other,"Although the deed lists the sale as 135,000 the Real Estate agent lists the sale price as 291,500",PER ASSESSOR: Sale does not appear to be market. See 14 Beverly Heights - Serial# 200748,POINT (-72.67921 41.54984),False
202901,2020,08/23/2021,Norwalk,3 BRANFORD ST,248050.0,765000.0,0.324248366,Residential,Single Family,07 - Change in Property,3-45-5-0,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200150,POINT (-73.4019 41.10046),False
200672,2020,12/29/2020,Norwalk,3 TOILSOME AVE,283620.0,265000.0,1.070264151,Residential,Single Family,25 - Other,5-26-89-0,"SOLD BY TWO PART INTEREST DEEDS OF $132,500 EACH",POINT (-73.4045 41.13894),False
202685,2020,07/19/2021,Norwalk,8 TULIP TREE LN,480670.0,950000.0,0.505968421,Residential,Single Family,07 - Change in Property,5-33-35-0,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200714,POINT (-73.39721 41.16573),False
2020293,2020,07/21/2021,Old Saybrook,17 CEDARWOOD LA,166000.0,485000.0,0.342268041,Residential,Single Family,07 - Change in Property,"after the fact permits when home sold increased assessment to 185,400",NEWLY RENOVATED PER MLS,POINT (-72.38487 41.27754),False
200238,2020,11/19/2020,Norwalk,155 WOLFPIT AVE,436460.0,320000.0,1.3639375,Residential,Single Family,08 - Part Interest,5-16-438-0,"TWO DEEDS FOR $320,000",POINT (-73.38916 41.13322),False
20425,2020,09/01/2021,Montville,17 MANOR RD,98870.0,275000.0,0.359527273,Residential,Single Family,07 - Change in Property,SALES RATIO,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #20272,POINT (-72.19303 41.47761),False
2020171,2020,03/19/2021,Old Saybrook,1 CAPTAINS LA,186300.0,476000.0,0.391386555,Residential,Single Family,07 - Change in Property,"renovations - home sold before assessment was updated to 198,300",TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #202002,POINT (-72.35957 41.2873),False
